regulator	target	mor	likelihood
GLI1_UP.V1_DN	COPZ1	1	1
GLI1_UP.V1_DN	C10orf46	1	1
GLI1_UP.V1_DN	C20orf118	1	1
GLI1_UP.V1_DN	TMEM181	1	1
GLI1_UP.V1_DN	CCNL2	1	1
GLI1_UP.V1_DN	YIPF1	1	1
GLI1_UP.V1_DN	GTDC1	1	1
GLI1_UP.V1_DN	OPN3	1	1
GLI1_UP.V1_DN	RSAD2	1	1
GLI1_UP.V1_DN	SLC22A1	1	1
GLI1_UP.V1_DN	LIN37	1	1
GLI1_UP.V1_DN	RNF10	1	1
GLI1_UP.V1_DN	RUNX1	1	1
GLI1_UP.V1_DN	QRICH2	1	1
GLI1_UP.V1_DN	SEPT9	1	1
GLI1_UP.V1_DN	ARPC2	1	1
GLI1_UP.V1_DN	CD2AP	1	1
GLI1_UP.V1_DN	ACSL6	1	1
GLI1_UP.V1_DN	ZMYND11	1	1
GLI1_UP.V1_DN	BBX	1	1
GLI1_UP.V1_DN	TMEM62	1	1
GLI1_UP.V1_DN	FOLR1	1	1
GLI1_UP.V1_DN	TMEM189	1	1
GLI1_UP.V1_DN	PPIL1	1	1
GLI1_UP.V1_DN	CYP3A7	1	1
GLI1_UP.V1_DN	SELM	1	1
GLI1_UP.V1_DN	ESYT1	1	1
GLI1_UP.V1_DN	BTBD16	1	1
GLI1_UP.V1_DN	SPECC1	1	1
GLI1_UP.V1_UP	IGFBP6	1	1
GLI1_UP.V1_UP	HLA-DQB1	1	1
GLI1_UP.V1_UP	CCND2	1	1
GLI1_UP.V1_UP	PTH1R	1	1
GLI1_UP.V1_UP	TXNDC12	1	1
GLI1_UP.V1_UP	M6PR	1	1
GLI1_UP.V1_UP	PPT2	1	1
GLI1_UP.V1_UP	STAU1	1	1
GLI1_UP.V1_UP	IGJ	1	1
GLI1_UP.V1_UP	TMOD3	1	1
GLI1_UP.V1_UP	SAR1A	1	1
GLI1_UP.V1_UP	PLXNA2	1	1
GLI1_UP.V1_UP	ZBTB16	1	1
GLI1_UP.V1_UP	YBX1	1	1
GLI1_UP.V1_UP	SGTA	1	1
GLI1_UP.V1_UP	CSGALNACT1	1	1
GLI1_UP.V1_UP	WEE1	1	1
GLI1_UP.V1_UP	TRIM23	1	1
GLI1_UP.V1_UP	POFUT2	1	1
GLI1_UP.V1_UP	C16orf45	1	1
GLI1_UP.V1_UP	IFT74	1	1
GLI1_UP.V1_UP	PRKD3	1	1
GLI1_UP.V1_UP	PPAPDC2	1	1
GLI1_UP.V1_UP	FEM1A	1	1
GLI1_UP.V1_UP	LMO7	1	1
GLI1_UP.V1_UP	C7orf50	1	1
GLI1_UP.V1_UP	ZC3H18	1	1
E2F1_UP.V1_DN	TGFB1I1	1	1
