,human_ensembl,human_symbol,human_entrez
0,ENSG00000210049,MT-TF,
1,ENSG00000211459,MT-RNR1,
2,ENSG00000210077,MT-TV,
3,ENSG00000210082,MT-RNR2,
4,ENSG00000209082,MT-TL1,
5,ENSG00000198888,MT-ND1,4535.0
6,ENSG00000210100,MT-TI,
7,ENSG00000210107,MT-TQ,
8,ENSG00000210112,MT-TM,
9,ENSG00000198763,MT-ND2,4536.0
10,ENSG00000210117,MT-TW,
11,ENSG00000210127,MT-TA,
12,ENSG00000210135,MT-TN,
13,ENSG00000210140,MT-TC,
14,ENSG00000210144,MT-TY,
15,ENSG00000198804,MT-CO1,4512.0
16,ENSG00000210151,MT-TS1,113219467.0
17,ENSG00000210154,MT-TD,
18,ENSG00000198712,MT-CO2,4513.0
19,ENSG00000210156,MT-TK,
20,ENSG00000228253,MT-ATP8,4509.0
21,ENSG00000198899,MT-ATP6,4508.0
22,ENSG00000198938,MT-CO3,4514.0
23,ENSG00000210164,MT-TG,
24,ENSG00000198840,MT-ND3,4537.0
25,ENSG00000210174,MT-TR,
26,ENSG00000212907,MT-ND4L,4539.0
27,ENSG00000198886,MT-ND4,4538.0
28,ENSG00000210176,MT-TH,
29,ENSG00000210184,MT-TS2,
30,ENSG00000210191,MT-TL2,
31,ENSG00000198786,MT-ND5,4540.0
32,ENSG00000198695,MT-ND6,4541.0
33,ENSG00000210194,MT-TE,
34,ENSG00000198727,MT-CYB,4519.0
35,ENSG00000210195,MT-TT,
36,ENSG00000210196,MT-TP,
37,ENSG00000278457,5S_rRNA,
38,ENSG00000276197,,
39,ENSG00000278625,U6,124905334.0
40,ENSG00000271254,,102724250.0
41,ENSG00000278633,,
42,ENSG00000277630,,100288966.0
43,ENSG00000278573,,
44,ENSG00000278294,5_8S_rRNA,124907156.0
45,ENSG00000278294,5_8S_rRNA,124907485.0
46,ENSG00000278294,5_8S_rRNA,124908250.0
47,ENSG00000274917,RNA5-8SN5,100008587.0
48,ENSG00000274917,RNA5-8SN5,124907114.0
49,ENSG00000274917,RNA5-8SN5,124907115.0
50,ENSG00000274917,RNA5-8SN5,124907116.0
51,ENSG00000274917,RNA5-8SN5,124907117.0
52,ENSG00000274917,RNA5-8SN5,124907118.0
53,ENSG00000274917,RNA5-8SN5,124907119.0
54,ENSG00000274917,RNA5-8SN5,124907120.0
