,mouse_ensembl,mouse_symbol,mouse_entrez
0,ENSMUSG00000064336,mt-Tf,
1,ENSMUSG00000064337,mt-Rnr1,
2,ENSMUSG00000064338,mt-Tv,
3,ENSMUSG00000064339,mt-Rnr2,
4,ENSMUSG00000064340,mt-Tl1,
5,ENSMUSG00000064341,mt-Nd1,17716.0
6,ENSMUSG00000064342,mt-Ti,
7,ENSMUSG00000064343,mt-Tq,
8,ENSMUSG00000064344,mt-Tm,
9,ENSMUSG00000064345,mt-Nd2,17717.0
10,ENSMUSG00000064346,mt-Tw,
11,ENSMUSG00000064347,mt-Ta,
12,ENSMUSG00000064348,mt-Tn,
13,ENSMUSG00000064349,mt-Tc,
14,ENSMUSG00000064350,mt-Ty,
15,ENSMUSG00000064351,mt-Co1,17708.0
16,ENSMUSG00000064352,mt-Ts1,
17,ENSMUSG00000064353,mt-Td,
18,ENSMUSG00000064354,mt-Co2,17709.0
19,ENSMUSG00000064355,mt-Tk,
20,ENSMUSG00000064356,mt-Atp8,17706.0
21,ENSMUSG00000064357,mt-Atp6,17705.0
22,ENSMUSG00000064358,mt-Co3,17710.0
23,ENSMUSG00000064359,mt-Tg,
24,ENSMUSG00000064360,mt-Nd3,17718.0
25,ENSMUSG00000064361,mt-Tr,
26,ENSMUSG00000065947,mt-Nd4l,17720.0
27,ENSMUSG00000064363,mt-Nd4,17719.0
28,ENSMUSG00000064364,mt-Th,
29,ENSMUSG00000064365,mt-Ts2,
30,ENSMUSG00000064366,mt-Tl2,
31,ENSMUSG00000064367,mt-Nd5,17721.0
32,ENSMUSG00000064368,mt-Nd6,17722.0
33,ENSMUSG00000064369,mt-Te,
34,ENSMUSG00000064370,mt-Cytb,17711.0
35,ENSMUSG00000064371,mt-Tt,
36,ENSMUSG00000064372,mt-Tp,
37,ENSMUSG00002075400,,
38,ENSMUSG00002074899,,
39,ENSMUSG00002076890,,
40,ENSMUSG00002074970,,
41,ENSMUSG00002075729,,
42,ENSMUSG00000095742,,
43,ENSMUSG00000094915,,671917.0
44,ENSMUSG00000079808,,102638047.0
45,ENSMUSG00000095666,,100862115.0
46,ENSMUSG00000096680,,102634529.0
47,ENSMUSG00000095505,,
48,ENSMUSG00000094722,,100862245.0
49,ENSMUSG00000095250,,118568473.0
50,ENSMUSG00000095728,,
51,ENSMUSG00000095787,,
52,ENSMUSG00000096100,,
53,ENSMUSG00000095076,,
54,ENSMUSG00000094054,,100503923.0
55,ENSMUSG00000095672,,
56,ENSMUSG00000079190,,100041057.0
57,ENSMUSG00000094514,,102636558.0
58,ENSMUSG00000094741,,100503733.0
59,ENSMUSG00000074720,,
60,ENSMUSG00000096776,Vmn1r186,100039479.0
61,ENSMUSG00000096244,,100039499.0
62,ENSMUSG00000094337,,665290.0
63,ENSMUSG00000095570,,624931.0
64,ENSMUSG00000096728,,665755.0
65,ENSMUSG00000094836,,100861655.0
66,ENSMUSG00000094383,,108168683.0
67,ENSMUSG00000094383,,108168684.0
