regulator	target	mor	likelihood
AATF	IK	0.0844836195113941	0.99985426989216
AATF	JAK1	0.0665885773682246	0.999708539784319
AATF	CBR4	0.0115497607050105	0.999562809676479
AATF	CCPG1	0.0250281855332135	0.999417079568639
AATF	CHD2	-0.0108432358631387	0.999271349460799
AATF	NUDCD2	0.0215288863862694	0.999125619352958
AATF	ACBD5	0.0835562028808993	0.998979889245118
AATF	STRA13	0.080254924193342	0.998834159137278
AATF	FAM120A	0.0153829458979714	0.998688429029437
AATF	SPAG16	0.0121227793128694	0.998542698921597
AATF	PPHLN1	0.0700488557778801	0.998396968813757
AATF	APOPT1	0.0643393541608994	0.998251238705917
AATF	SDHA	0.0888457969735736	0.998105508598076
AATF	RDH14	0.0679823823996984	0.997959778490236
AATF	CCT7	0.0709830929670027	0.997814048382396
AATF	SLC25A39	0.0077955477931347	0.997668318274555
AATF	F11R	0.0245273180787159	0.997522588166715
AATF	CACYBP	0.0253753481643892	0.997376858058875
AATF	CCDC23	0.0518967428908915	0.997231127951035
AATF	GID8	0.0362081149912427	0.997085397843194
AATF	EMC8	0.0521722781958791	0.996939667735354
AATF	PSMF1	-0.0206745914884567	0.996793937627514
AATF	SEPT7	0.0215166533347336	0.996648207519674
AATF	EIF4E2	0.0514961434150764	0.996502477411833
AATF	IDH3B	0.0496053273653465	0.996356747303993
AATF	COMMD3	0.0353549869184166	0.996211017196153
AATF	COMMD9	-0.0077514620148402	0.996065287088312
AATF	TRAPPC4	0.0608444773489144	0.995919556980472
AATF	FAM162A	0.0637444927426516	0.995773826872632
AATF	NDN	0.0719478412491817	0.995628096764792
AATF	MSI2	-0.0703394398486471	0.995482366656951
AATF	BBS2	0.0291335731126276	0.995336636549111
AATF	MSMO1	0.0333246526712553	0.995190906441271
AATF	GTF2F2	0.100904330729107	0.99504517633343
AATF	PPP6C	0.0534832359650563	0.99489944622559
AATF	XPO1	-0.0179622625169869	0.99475371611775
AATF	IGF1R	0.0514544905362476	0.99460798600991
AATF	KRAS	0.0108199701834744	0.994462255902069
AATF	CNOT7	0.0658058487189044	0.994316525794229
AATF	HMG20B	0.046866585611466	0.994170795686389
AATF	RYK	0.0690609395297367	0.994025065578549
AATF	NDFIP2	-0.0131248970691721	0.993879335470708
AATF	STOM	0.0340262135952862	0.993733605362868
AATF	TLE1	0.104329717181607	0.993587875255028
AATF	ERBB2IP	-0.0005332509875476	0.993442145147187
AATF	TM7SF3	0.043806157965791	0.993296415039347
AATF	PQLC3	0.0249322567283166	0.993150684931507
AATF	DGCR6L	0.0432029712987075	0.993004954823667
AATF	OSBPL9	0.029957124755573	0.992859224715826
AATF	PSMD13	0.0272213424757815	0.992713494607986
AATF	AP1G1	0.0714539217057214	0.992567764500146
AATF	TMEM167B	0.0429176878944106	0.992422034392305
AATF	COG2	0.0817999597685892	0.992276304284465
AATF	MKRN1	-0.0056447542660145	0.992130574176625
AATF	DEXI	0.0903981673596116	0.991984844068785
AATF	TTC1	0.0436060216248631	0.991839113960944
AATF	CD99	0.0456054443718651	0.991693383853104
AATF	STX8	0.0708402428789766	0.991547653745264
AATF	LRG1	0.0372747191706141	0.991401923637424
AATF	DDX54	0.0750409053359982	0.991256193529583
AATF	KDSR	-0.0158446067083716	0.991110463421743
AATF	C21orf33	0.0598644663885387	0.990964733313903
AATF	GGT7	0.0098462758898754	0.990819003206062
AATF	STX10	-0.0237989701503672	0.990673273098222
AATF	MPC1	0.03154385173084	0.990527542990382
AATF	AKT1	0.0254048812692805	0.990381812882542
AATF	SUGT1	0.0286617236624981	0.990236082774701
AATF	PRRC2C	0.0028355782468292	0.990090352666861
AATF	SERPINA4	0.0348107614399187	0.989944622559021
AATF	MRPL21	0.0439810466236997	0.98979889245118
AATF	DCAF12	0.0407161899276233	0.98965316234334
AATF	HDLBP	0.0549868004190748	0.9895074322355
AATF	STMN1	0.074790235615826	0.98936170212766
AATF	CHMP1B	0.0346712534962424	0.989215972019819
AATF	HSPA9	0.0321522513488654	0.989070241911979
AATF	SLC39A1	0.0391943511148558	0.988924511804139
AATF	UBE2L6	0.0449065252355478	0.988778781696298
AATF	TNRC18	0.0830392171330396	0.988633051588458
AATF	SUCLA2	0.0518612934514413	0.988487321480618
AATF	ELF2	-0.0112458051270132	0.988341591372778
