regulator	target	mor	likelihood
HALLMARK_TNFA_SIGNALING_VIA_NFKB	JUNB	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CXCL2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ATF3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NFKBIA	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFAIP3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PTGS2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CXCL1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IER3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CD83	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CCL20	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CXCL3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MAFF	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NFKB2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFAIP2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HBEGF	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF6	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BIRC3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PLAUR	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ZFP36	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ICAM1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	JUN	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EGR3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IL1B	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BCL2A1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PPP1R15A	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ZC3H12A	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SOD2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NR4A2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IL1A	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	RELB	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TRAF1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BTG2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DUSP1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MAP3K8	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ETS2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	F3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SDC4	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EGR1	1	1
