,human_symbol,human_ensembl,human_entrez,mouse_symbol,mouse_ensembl,mouse_entrez
0,TNMD,ENSG00000000005,64102,Tnmd,ENSMUSG00000031250,64103
1,NFYA,ENSG00000001167,4800,Nfya,ENSMUSG00000023994,18044
2,SEMA3F,ENSG00000001617,6405,Sema3f,ENSMUSG00000034684,20350
3,LASP1,ENSG00000002834,3927,Lasp1,ENSMUSG00000038366,16796
4,CYP26B1,ENSG00000003137,56603,Cyp26b1,ENSMUSG00000063415,232174
5,RBM5,ENSG00000003756,10181,Rbm5,ENSMUSG00000032580,83486
6,ARF5,ENSG00000004059,381,Arf5,ENSMUSG00000020440,11844
7,KDM1A,ENSG00000004487,23028,Kdm1a,ENSMUSG00000036940,99982
8,VPS50,ENSG00000004766,55610,Vps50,ENSMUSG00000001376,73288
9,ARX,ENSG00000004848,170302,Arx,ENSMUSG00000035277,11878
10,CDC27,ENSG00000004897,996,Cdc27,ENSMUSG00000020687,217232
11,DVL2,ENSG00000004975,1856,Dvl2,ENSMUSG00000020888,13543
12,UPF1,ENSG00000005007,5976,Upf1,ENSMUSG00000058301,19704
13,SLC25A5,ENSG00000005022,292,Slc25a5,ENSMUSG00000016319,11740
14,HOXA11,ENSG00000005073,3207,Hoxa11,ENSMUSG00000038210,15396
15,POLR2J,ENSG00000005075,5439,Polr2j,ENSMUSG00000039771,20022
16,PRKAR2B,ENSG00000005249,5577,Prkar2b,ENSMUSG00000002997,19088
17,CREBBP,ENSG00000005339,1387,Crebbp,ENSMUSG00000022521,12914
18,MYCBP2,ENSG00000005810,23077,Mycbp2,ENSMUSG00000033004,105689
19,FBXL3,ENSG00000005812,26224,Fbxl3,ENSMUSG00000022124,50789
20,PDK2,ENSG00000005882,5164,Pdk2,ENSMUSG00000038967,18604
21,TMEM98,ENSG00000006042,26022,Tmem98,ENSMUSG00000035413,103743
22,CACNG3,ENSG00000006116,10368,Cacng3,ENSMUSG00000066189,54376
23,AP2B1,ENSG00000006125,163,Ap2b1,ENSMUSG00000035152,71770
24,DLX6,ENSG00000006377,1750,Dlx6,ENSMUSG00000029754,13396
25,RALA,ENSG00000006451,5898,Rala,ENSMUSG00000008859,56044
26,ETV1,ENSG00000006468,2115,Etv1,ENSMUSG00000004151,14009
27,PAF1,ENSG00000006712,54623,Paf1,ENSMUSG00000003437,54624
28,VPS41,ENSG00000006715,27072,Vps41,ENSMUSG00000041236,218035
29,MYH13,ENSG00000006788,8735,Myh13,ENSMUSG00000060180,544791
30,MARK4,ENSG00000007047,57787,Mark4,ENSMUSG00000030397,232944
31,PAFAH1B1,ENSG00000007168,5048,Pafah1b1,ENSMUSG00000020745,18472
32,PAX6,ENSG00000007372,5080,Pax6,ENSMUSG00000027168,18508
33,LUC7L,ENSG00000007392,55692,Luc7l,ENSMUSG00000024188,66978
34,CACNA2D2,ENSG00000007402,9254,Cacna2d2,ENSMUSG00000010066,56808
35,TEAD3,ENSG00000007866,7005,Tead3,ENSMUSG00000002249,21678
36,DNAJC11,ENSG00000007923,55735,Dnajc11,ENSMUSG00000039768,230935
37,MYLIP,ENSG00000007944,29116,Mylip,ENSMUSG00000038175,218203
