human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,human_entrez,mouse_entrez
A1BG,A1bg,ENSG00000121410,ENSMUSG00000022347,1,117586
A1CF,A1cf,ENSG00000148584,ENSMUSG00000052595,29974,69865
A2M,A2m,ENSG00000175899,ENSMUSG00000030111,2,232345
A3GALT2,A3galt2,ENSG00000184389,ENSMUSG00000028794,127550,215493
A4GALT,A4galt,ENSG00000128274,ENSMUSG00000047878,53947,239559
A4GNT,A4gnt,ENSG00000118017,ENSMUSG00000037953,51146,333424
AAAS,Aaas,ENSG00000094914,ENSMUSG00000036678,8086,223921
AACS,Aacs,ENSG00000081760,ENSMUSG00000029482,65985,78894
AADAC,Aadac,ENSG00000114771,ENSMUSG00000027761,13,67758
AADACL2,Aadacl2,ENSG00000261846,ENSMUSG00000091376,344752,639634
AADACL2,Aadacl2,ENSG00000197953,ENSMUSG00000091376,344752,639634
AADACL3,Aadacl3,ENSG00000188984,ENSMUSG00000078507,126767,230883
AADACL4,Aadacl4fm1,ENSG00000204518,ENSMUSG00000028593,343066,381572
AADACL4,AAdacl4fm3,ENSG00000204518,ENSMUSG00000041735,343066,546849
AADACL4,Aadacl4,ENSG00000204518,ENSMUSG00000070609,343066,435815
AADACL4,Aadacl4fm4,ENSG00000204518,ENSMUSG00000078505,343066,230890
AADACL4,Aadacl4fm5,ENSG00000204518,ENSMUSG00000078504,343066,329993
AADAT,Aadat,ENSG00000109576,ENSMUSG00000057228,51166,23923
AAGAB,Aagab,ENSG00000103591,ENSMUSG00000037257,79719,66939
AAK1,Aak1,ENSG00000115977,ENSMUSG00000057230,22848,269774
AAMDC,Aamdc,ENSG00000087884,ENSMUSG00000035642,28971,66273
AAMP,Aamp,ENSG00000127837,ENSMUSG00000006299,14,227290
AANAT,Aanat,ENSG00000129673,ENSMUSG00000020804,15,11298
AAR2,Aar2,ENSG00000131043,ENSMUSG00000027628,25980,68295
AARD,Aard,ENSG00000205002,ENSMUSG00000068522,441376,239435
AARS1,Aars,ENSG00000090861,ENSMUSG00000031960,16,234734
AARS2,Aars2,ENSG00000124608,ENSMUSG00000023938,57505,224805
AARSD1,Aarsd1,ENSG00000266967,ENSMUSG00000075528,80755,69684
AARSD1,Gm27029,ENSG00000266967,ENSMUSG00000097239,80755,-1
AASDH,Aasdh,ENSG00000157426,ENSMUSG00000055923,132949,231326
AASDHPPT,Aasdhppt,ENSG00000149313,ENSMUSG00000025894,60496,67618
AASS,Aass,ENSG00000008311,ENSMUSG00000029695,10157,30956
AATF,Aatf,ENSG00000275700,ENSMUSG00000018697,26574,56321
AATF,Aatf,ENSG00000276072,ENSMUSG00000018697,26574,56321
AATK,Aatk,ENSG00000181409,ENSMUSG00000025375,9625,11302
ABAT,Abat,ENSG00000183044,ENSMUSG00000057880,18,268860
ABCA1,Abca1,ENSG00000165029,ENSMUSG00000015243,19,11303
ABCA12,Abca12,ENSG00000144452,ENSMUSG00000050296,26154,74591
ABCA13,Abca13,ENSG00000179869,ENSMUSG00000004668,154664,268379
ABCA2,Abca2,ENSG00000107331,ENSMUSG00000026944,20,11305
ABCA3,Abca3,ENSG00000167972,ENSMUSG00000024130,21,27410
ABCA4,Abca4,ENSG00000198691,ENSMUSG00000028125,24,11304
ABCA5,Abca5,ENSG00000154265,ENSMUSG00000018800,23461,217265
ABCA6,Abca6,ENSG00000154262,ENSMUSG00000044749,23460,76184
ABCA7,Abca7,ENSG00000064687,ENSMUSG00000035722,10347,27403
ABCA8,Abca8b,ENSG00000141338,ENSMUSG00000020620,10351,27404
ABCA9,Abca9,ENSG00000154258,ENSMUSG00000041797,10350,217262
ABCB1,Abcb1a,ENSG00000085563,ENSMUSG00000040584,5243,18671
ABCB1,Abcb1b,ENSG00000085563,ENSMUSG00000028970,5243,18669
ABCB10,Abcb10,ENSG00000135776,ENSMUSG00000031974,23456,56199
ABCB11,Abcb11,ENSG00000276582,ENSMUSG00000027048,8647,27413
ABCB11,Abcb11,ENSG00000073734,ENSMUSG00000027048,8647,27413
ABCB4,Abcb4,ENSG00000005471,ENSMUSG00000042476,5244,18670
ABCB5,Abcb5,ENSG00000004846,ENSMUSG00000072791,340273,77706
ABCB6,Abcb6,ENSG00000115657,ENSMUSG00000026198,10058,74104
ABCB7,Abcb7,ENSG00000131269,ENSMUSG00000031333,22,11306
ABCB8,Abcb8,ENSG00000197150,ENSMUSG00000028973,11194,74610
ABCB9,Abcb9,ENSG00000150967,ENSMUSG00000029408,23457,56325
ABCC1,Abcc1,ENSG00000103222,ENSMUSG00000023088,4363,17250
ABCC1,Abcc1,ENSG00000278183,ENSMUSG00000023088,4363,17250
ABCC10,Abcc10,ENSG00000124574,ENSMUSG00000032842,89845,224814
ABCC12,Abcc12,ENSG00000140798,ENSMUSG00000036872,94160,244562
ABCC2,Abcc2,ENSG00000023839,ENSMUSG00000025194,1244,12780
ABCC3,Abcc3,ENSG00000108846,ENSMUSG00000020865,8714,76408
ABCC4,Abcc4,ENSG00000125257,ENSMUSG00000032849,10257,239273
ABCC5,Abcc5,ENSG00000114770,ENSMUSG00000022822,10057,27416
ABCC6,Abcc6,ENSG00000275331,ENSMUSG00000030834,368,27421
ABCC6,Abcc6,ENSG00000091262,ENSMUSG00000030834,368,27421
ABCC8,Abcc8,ENSG00000006071,ENSMUSG00000040136,6833,20927
ABCC9,Abcc9,ENSG00000069431,ENSMUSG00000030249,10060,20928
ABCD1,Abcd1,ENSG00000101986,ENSMUSG00000031378,215,11666
ABCD2,Abcd2,ENSG00000173208,ENSMUSG00000055782,225,26874
ABCD3,Abcd3,ENSG00000117528,ENSMUSG00000028127,5825,19299
ABCD4,Abcd4,ENSG00000119688,ENSMUSG00000021240,5826,19300
ABCE1,Abce1,ENSG00000164163,ENSMUSG00000058355,6059,24015
ABCF1,Abcf1,ENSG00000236342,ENSMUSG00000038762,23,224742
ABCF1,Abcf1,ENSG00000231129,ENSMUSG00000038762,23,224742
ABCF1,Abcf1,ENSG00000225989,ENSMUSG00000038762,23,224742
ABCF1,Abcf1,ENSG00000236149,ENSMUSG00000038762,23,224742
ABCF1,Abcf1,ENSG00000206490,ENSMUSG00000038762,23,224742
ABCF1,Abcf1,ENSG00000232169,ENSMUSG00000038762,23,224742
ABCF1,Abcf1,ENSG00000204574,ENSMUSG00000038762,23,224742
ABCF2,Abcf2,ENSG00000033050,ENSMUSG00000028953,10061,27407
ABCF2-H2BE1,Abcf2,ENSG00000285292,ENSMUSG00000028953,114483834,27407
ABCF3,Abcf3,ENSG00000161204,ENSMUSG00000003234,55324,27406
ABCG1,Abcg1,ENSG00000160179,ENSMUSG00000024030,9619,11307
ABCG2,Abcg3,ENSG00000118777,ENSMUSG00000029299,9429,27405
ABCG4,Abcg4,ENSG00000172350,ENSMUSG00000032131,64137,192663
ABCG5,Abcg5,ENSG00000138075,ENSMUSG00000040505,64240,27409
ABCG8,Abcg8,ENSG00000143921,ENSMUSG00000024254,64241,67470
ABHD1,Abhd1,ENSG00000143994,ENSMUSG00000006638,84696,57742
ABHD10,Abhd10,ENSG00000144827,ENSMUSG00000033157,55347,213012
ABHD11,Abhd11,ENSG00000106077,ENSMUSG00000040532,83451,68758
ABHD12,Abhd12,ENSG00000100997,ENSMUSG00000032046,26090,76192
ABHD12B,Abhd12b,ENSG00000131969,ENSMUSG00000090121,145447,100504285
ABHD13,Abhd13,ENSG00000139826,ENSMUSG00000040396,84945,68904
ABHD14A,Abhd14a,ENSG00000248487,ENSMUSG00000042210,25864,68644
ABHD14A-ACY1,Acy1,ENSG00000114786,ENSMUSG00000023262,100526760,109652
ABHD14B,Abhd14b,ENSG00000114779,ENSMUSG00000042073,84836,76491
ABHD15,Abhd15,ENSG00000168792,ENSMUSG00000000686,116236,67477
ABHD16A,Abhd16a,ENSG00000204427,ENSMUSG00000007036,7920,193742
ABHD16A,Abhd16a,ENSG00000231488,ENSMUSG00000007036,7920,193742
ABHD16A,Abhd16a,ENSG00000206403,ENSMUSG00000007036,7920,193742
ABHD16A,Abhd16a,ENSG00000224552,ENSMUSG00000007036,7920,193742
ABHD16A,Abhd16a,ENSG00000236063,ENSMUSG00000007036,7920,193742
ABHD16A,Abhd16a,ENSG00000235676,ENSMUSG00000007036,7920,193742
ABHD16A,Abhd16a,ENSG00000230475,ENSMUSG00000007036,7920,193742
ABHD16B,Abhd16b,ENSG00000183260,ENSMUSG00000055882,140701,241850
ABHD17A,Abhd17a,ENSG00000129968,ENSMUSG00000003346,81926,216169
ABHD17B,Abhd17b,ENSG00000107362,ENSMUSG00000047368,51104,226016
ABHD17C,Abhd17c,ENSG00000136379,ENSMUSG00000038459,58489,70178
ABHD18,Abhd18,ENSG00000164074,ENSMUSG00000037818,80167,269423
ABHD2,Abhd2,ENSG00000140526,ENSMUSG00000039202,11057,54608
ABHD3,Abhd3,ENSG00000158201,ENSMUSG00000002475,171586,106861
ABHD4,Abhd4,ENSG00000100439,ENSMUSG00000040997,63874,105501
ABHD5,Abhd5,ENSG00000011198,ENSMUSG00000032540,51099,67469
ABHD6,Abhd6,ENSG00000163686,ENSMUSG00000025277,57406,66082
ABHD8,Abhd8,ENSG00000127220,ENSMUSG00000007950,79575,64296
ABI1,Abi1,ENSG00000136754,ENSMUSG00000058835,10006,11308
ABI2,Abi2,ENSG00000138443,ENSMUSG00000026782,10152,329165
ABI3,Abi3,ENSG00000108798,ENSMUSG00000018381,51225,66610
ABI3BP,Abi3bp,ENSG00000154175,ENSMUSG00000035258,25890,320712
ABITRAM,Abitram,ENSG00000119328,ENSMUSG00000038827,54942,230234
ABL1,Abl1,ENSG00000097007,ENSMUSG00000026842,25,11350
ABL2,Abl2,ENSG00000143322,ENSMUSG00000026596,27,11352
ABLIM1,Ablim1,ENSG00000099204,ENSMUSG00000025085,3983,226251
ABLIM2,Ablim2,ENSG00000163995,ENSMUSG00000029095,84448,231148
ABLIM3,Ablim3,ENSG00000173210,ENSMUSG00000032735,22885,319713
ABR,Abr,ENSG00000159842,ENSMUSG00000017631,29,109934
ABR,Abr,ENSG00000278741,ENSMUSG00000017631,29,109934
ABR,Abr,ENSG00000276016,ENSMUSG00000017631,29,109934
ABRA,Abra,ENSG00000174429,ENSMUSG00000042895,137735,223513
ABRACL,Abracl,ENSG00000146386,ENSMUSG00000078453,58527,73112
ABRAXAS1,Abraxas1,ENSG00000163322,ENSMUSG00000035234,84142,70681
ABRAXAS2,Abraxas2,ENSG00000165660,ENSMUSG00000030965,23172,109359
ABT1,Abt1,ENSG00000146109,ENSMUSG00000036376,29777,30946
ABTB1,Abtb1,ENSG00000114626,ENSMUSG00000030083,80325,80283
ABTB2,Abtb2,ENSG00000166016,ENSMUSG00000032724,25841,99382
ACAA1,Acaa1b,ENSG00000060971,ENSMUSG00000010651,30,235674
ACAA1,Acaa1a,ENSG00000060971,ENSMUSG00000036138,30,113868
ACAA2,Acaa2,ENSG00000167315,ENSMUSG00000036880,10449,52538
ACACA,Acaca,ENSG00000275176,ENSMUSG00000020532,31,107476
ACACA,Acaca,ENSG00000278540,ENSMUSG00000020532,31,107476
ACACB,Acacb,ENSG00000076555,ENSMUSG00000042010,32,100705
ACAD10,Acad12,ENSG00000111271,ENSMUSG00000042647,80724,338350
ACAD10,Acad10,ENSG00000111271,ENSMUSG00000029456,80724,71985
ACAD11,Acad11,ENSG00000240303,ENSMUSG00000090150,84129,102632
ACAD8,Acad8,ENSG00000151498,ENSMUSG00000031969,27034,66948
ACAD9,Acad9,ENSG00000177646,ENSMUSG00000027710,28976,229211
ACADL,Acadl,ENSG00000115361,ENSMUSG00000026003,33,11363
ACADM,Acadm,ENSG00000117054,ENSMUSG00000062908,34,11364
ACADS,Acads,ENSG00000122971,ENSMUSG00000029545,35,11409
ACADSB,Acadsb,ENSG00000196177,ENSMUSG00000030861,36,66885
ACADVL,Acadvl,ENSG00000072778,ENSMUSG00000018574,37,11370
ACAN,Acan,ENSG00000157766,ENSMUSG00000030607,176,11595
ACAP1,Acap1,ENSG00000288169,ENSMUSG00000001588,9744,216859
ACAP1,Acap1,ENSG00000072818,ENSMUSG00000001588,9744,216859
ACAP2,Acap2,ENSG00000114331,ENSMUSG00000049076,23527,78618
ACAP3,Acap3,ENSG00000131584,ENSMUSG00000029033,116983,140500
ACAT1,Acat1,ENSG00000075239,ENSMUSG00000032047,38,110446
ACAT2,Acat2,ENSG00000120437,ENSMUSG00000023832,39,110460
ACAT2,Acat3,ENSG00000120437,ENSMUSG00000062480,39,224530
ACBD3,Acbd3,ENSG00000182827,ENSMUSG00000026499,64746,170760
ACBD4,Acbd4,ENSG00000181513,ENSMUSG00000056938,79777,67131
ACBD5,Acbd5,ENSG00000107897,ENSMUSG00000026781,91452,74159
ACBD6,Acbd6,ENSG00000230124,ENSMUSG00000033701,100527964,72482
ACBD6,Acbd6,ENSG00000230124,ENSMUSG00000033701,84320,72482
ACBD7,Acbd7,ENSG00000176244,ENSMUSG00000026644,414149,78245
ACCS,Accs,ENSG00000110455,ENSMUSG00000040272,84680,329470
ACCSL,Accsl,ENSG00000205126,ENSMUSG00000075023,390110,381411
ACD,Acd,ENSG00000102977,ENSMUSG00000038000,65057,497652
ACE,Ace,ENSG00000159640,ENSMUSG00000020681,1636,11421
ACE2,Ace2,ENSG00000130234,ENSMUSG00000015405,59272,70008
ACER1,Acer1,ENSG00000167769,ENSMUSG00000045019,125981,171168
ACER2,Acer2,ENSG00000177076,ENSMUSG00000038007,340485,230379
ACER3,Acer3,ENSG00000078124,ENSMUSG00000030760,55331,66190
ACHE,Ache,ENSG00000087085,ENSMUSG00000023328,43,11423
ACIN1,Acin1,ENSG00000100813,ENSMUSG00000022185,22985,56215
ACKR1,Ackr1,ENSG00000213088,ENSMUSG00000037872,2532,13349
ACKR2,Ackr2,ENSG00000144648,ENSMUSG00000044534,1238,59289
ACKR3,Ackr3,ENSG00000144476,ENSMUSG00000044337,57007,12778
ACKR4,Ackr4,ENSG00000129048,ENSMUSG00000079355,51554,252837
ACLY,Acly,ENSG00000131473,ENSMUSG00000020917,47,104112
ACMSD,Acmsd,ENSG00000153086,ENSMUSG00000026348,130013,266645
ACO1,Aco1,ENSG00000122729,ENSMUSG00000028405,48,11428
ACO2,Aco2,ENSG00000100412,ENSMUSG00000022477,50,11429
ACOD1,Acod1,ENSG00000102794,ENSMUSG00000022126,730249,16365
ACOT1,Acot3,ENSG00000184227,ENSMUSG00000021228,641371,171281
ACOT1,Acot1,ENSG00000184227,ENSMUSG00000072949,641371,26897
ACOT1,Acot2,ENSG00000184227,ENSMUSG00000021226,641371,171210
ACOT1,Acot5,ENSG00000184227,ENSMUSG00000042540,641371,217698
ACOT1,Gm49366,ENSG00000184227,ENSMUSG00000113475,641371,-1
ACOT11,Acot11,ENSG00000162390,ENSMUSG00000034853,26027,329910
ACOT12,Acot12,ENSG00000172497,ENSMUSG00000021620,134526,74156
ACOT13,Acot13,ENSG00000112304,ENSMUSG00000006717,55856,66834
ACOT2,Acot1,ENSG00000119673,ENSMUSG00000072949,10965,26897
ACOT2,Acot5,ENSG00000119673,ENSMUSG00000042540,10965,217698
ACOT2,Gm49366,ENSG00000119673,ENSMUSG00000113475,10965,-1
ACOT2,Acot3,ENSG00000119673,ENSMUSG00000021228,10965,171281
ACOT2,Acot2,ENSG00000119673,ENSMUSG00000021226,10965,171210
ACOT4,Acot4,ENSG00000177465,ENSMUSG00000052392,122970,171282
ACOT6,Acot6,ENSG00000205669,ENSMUSG00000043487,641372,217700
ACOT7,Acot7,ENSG00000097021,ENSMUSG00000028937,11332,70025
ACOT8,Acot8,ENSG00000101473,ENSMUSG00000017307,10005,170789
ACOT9,Acot9,ENSG00000123130,ENSMUSG00000025287,23597,56360
ACOT9,Acot10,ENSG00000123130,ENSMUSG00000047565,23597,64833
ACOX1,Acox1,ENSG00000161533,ENSMUSG00000020777,51,11430
ACOX2,Acox2,ENSG00000168306,ENSMUSG00000021751,8309,93732
ACOX3,Acox3,ENSG00000087008,ENSMUSG00000029098,8310,80911
ACOXL,Acoxl,ENSG00000153093,ENSMUSG00000027380,55289,74121
ACP1,Acp1,ENSG00000143727,ENSMUSG00000044573,52,11431
ACP2,Acp2,ENSG00000134575,ENSMUSG00000002103,53,11432
ACP3,Acpp,ENSG00000014257,ENSMUSG00000032561,55,56318
ACP4,Acp4,ENSG00000142513,ENSMUSG00000012777,93650,100503991
ACP5,Acp5,ENSG00000102575,ENSMUSG00000001348,54,11433
ACP6,Acp6,ENSG00000162836,ENSMUSG00000028093,51205,66659
ACP7,Acp7,ENSG00000183760,ENSMUSG00000037469,390928,101744
ACR,Acr,ENSG00000100312,ENSMUSG00000022622,49,11434
ACR,Acr,ENSG00000283539,ENSMUSG00000022622,49,11434
ACRBP,Acrbp,ENSG00000111644,ENSMUSG00000072770,84519,54137
ACRV1,Acrv1,ENSG00000134940,ENSMUSG00000032110,56,11451
ACSBG1,Acsbg1,ENSG00000103740,ENSMUSG00000032281,23205,94180
ACSBG2,Acsbg2,ENSG00000130377,ENSMUSG00000024207,81616,328845
ACSF2,Acsf2,ENSG00000167107,ENSMUSG00000076435,80221,264895
