,mouse_symbol,mouse_ensembl,mouse_entrez,human_symbol,human_ensembl,human_entrez
0,Tfe3,ENSMUSG00000000134,209446,TFE3,ENSG00000068323,7030
1,Brat1,ENSMUSG00000000148,231841,BRAT1,ENSG00000106009,221927
2,Slc22a18,ENSMUSG00000000154,18400,SLC22A18,ENSG00000110628,5002
3,Slfn4,ENSMUSG00000000204,20558,SLFN12,ENSG00000172123,55106
4,Slfn4,ENSMUSG00000000204,20558,SLFN12L,ENSG00000205045,100506736
5,Th,ENSMUSG00000000214,21823,TH,ENSG00000180176,7054
6,Lhx2,ENSMUSG00000000247,16870,LHX2,ENSG00000106689,9355
7,Cdh4,ENSMUSG00000000305,12561,CDH4,ENSG00000179242,1002
8,Dazap2,ENSMUSG00000000346,23994,DAZAP2,ENSG00000183283,9802
9,Rnf17,ENSMUSG00000000365,30054,RNF17,ENSG00000132972,56163
10,Tmprss2,ENSMUSG00000000385,50528,TMPRSS2,ENSG00000184012,7113
11,Tmprss2,ENSMUSG00000000385,50528,TMPRSS2,ENSG00000184012,124905021
12,Mx1,ENSMUSG00000000386,<NA>,MX1,ENSG00000157601,4599
13,Egfl6,ENSMUSG00000000402,54156,EGFL6,ENSG00000198759,25975
14,Myf5,ENSMUSG00000000435,17877,MYF5,ENSG00000111049,4617
15,Mkrn2,ENSMUSG00000000439,67027,MKRN2,ENSG00000075975,23609
16,Pparg,ENSMUSG00000000440,19016,PPARG,ENSG00000132170,5468
17,Sox9,ENSMUSG00000000567,20682,SOX9,ENSG00000125398,6662
18,C1d,ENSMUSG00000000581,57316,C1D,ENSG00000197223,10438
19,Clcn4,ENSMUSG00000000605,12727,CLCN4,ENSG00000073464,1183
20,Loxl3,ENSMUSG00000000693,16950,LOXL3,ENSG00000115318,84695
21,Tcl1b5,ENSMUSG00000000701,27382,TCL1B,ENSG00000213231,9623
22,Kat2b,ENSMUSG00000000708,18519,KAT2B,ENSG00000114166,8850
23,Rab5b,ENSMUSG00000000711,19344,RAB5B,ENSG00000111540,5869
24,Oprm1,ENSMUSG00000000766,18390,OPRM1,ENSG00000112038,4988
25,Polr3d,ENSMUSG00000000776,67065,POLR3D,ENSG00000168495,661
26,Tcf7,ENSMUSG00000000782,21414,TCF7,ENSG00000081059,6932
27,Mmp11,ENSMUSG00000000901,17385,MMP11,ENSG00000099953,4320
28,Smarcb1,ENSMUSG00000000902,20587,SMARCB1,ENSG00000099956,6598
29,Vpreb3,ENSMUSG00000000903,22364,VPREB3,ENSG00000128218,29802
30,Gm38393,ENSMUSG00000000948,<NA>,SNRPN,ENSG00000128739,6638
31,S100a6,ENSMUSG00000001025,20200,S100A6,ENSG00000197956,6277
32,Epn2,ENSMUSG00000001036,13855,EPN2,ENSG00000072134,22905
33,B9d1,ENSMUSG00000001039,27078,B9D1,ENSG00000108641,27077
34,Ift20,ENSMUSG00000001105,55978,IFT20,ENSG00000109083,90410
35,Mxd1,ENSMUSG00000001156,17119,MXD1,ENSG00000059728,4084
36,Oas1c,ENSMUSG00000001166,114643,OAS1,ENSG00000089127,4938
37,Oas1h,ENSMUSG00000001168,246729,OAS1,ENSG00000089127,4938
38,Rrp15,ENSMUSG00000001305,67223,RRP15,ENSG00000067533,51018
39,Ube2c,ENSMUSG00000001403,68612,UBE2C,ENSG00000175063,11065
40,Kpnb1,ENSMUSG00000001440,16211,KPNB1,ENSG00000108424,3837
41,Tbx21,ENSMUSG00000001444,57765,TBX21,ENSG00000073861,30009
42,Mrpl10,ENSMUSG00000001445,107732,MRPL10,ENSG00000159111,124995
43,Pax9,ENSMUSG00000001497,18511,PAX9,ENSG00000198807,5083
44,Col1a1,ENSMUSG00000001506,12842,COL1A1,ENSG00000108821,1277
45,Sgca,ENSMUSG00000001508,20391,SGCA,ENSG00000108823,6442
46,Ddt,ENSMUSG00000001666,13202,DDTL,ENSG00000099974,100037417
47,Ddt,ENSMUSG00000001666,13202,DDT,ENSG00000099977,1652
48,Ddt,ENSMUSG00000001666,13202,DDT,ENSG00000099977,100037417
49,Ddx18,ENSMUSG00000001674,66942,DDX18,ENSG00000088205,8886
50,Ubl3,ENSMUSG00000001687,24109,UBL3,ENSG00000122042,5412
51,Gramd3,ENSMUSG00000001700,107022,GRAMD2B,ENSG00000155324,65983
52,Eef1e1,ENSMUSG00000001707,66143,EEF1E1-BLOC1S5,ENSG00000265818,<NA>
53,Eef1e1,ENSMUSG00000001707,66143,EEF1E1,ENSG00000124802,9521
54,Naglu,ENSMUSG00000001751,27419,NAGLU,ENSG00000108784,4669
55,Rtcb,ENSMUSG00000001783,28088,RTCB,ENSG00000100220,51493
56,Rac1,ENSMUSG00000001847,19353,RAC1,ENSG00000136238,5879
57,Nup214,ENSMUSG00000001855,227720,NUP214,ENSG00000126883,8021
58,Cpa3,ENSMUSG00000001865,12873,CPA3,ENSG00000163751,1359
59,Kcnh6,ENSMUSG00000001901,192775,KCNH6,ENSG00000173826,81033
60,Uba1,ENSMUSG00000001924,22201,UBA1,ENSG00000130985,7317
61,Emd,ENSMUSG00000001964,13726,EMD,ENSG00000102119,2010
62,Taco1,ENSMUSG00000001983,70207,TACO1,ENSG00000136463,51204
